Occupation,M_workers,F_workers,All_workers,Male Percentage,Female Percentage,Stereotype_Category
MANAGEMENT,7332,5147,12479,58.75470791,41.24529209,Male-Stereotyped
Chief executives,763,283,1046,72.94455067,27.05544933,Male-Stereotyped
General and operations managers,621,202,823,75.45565006,24.54434994,Male-Stereotyped
Legislators,5,4,9,55.55555556,44.44444444,Male-Stereotyped
Advertising and promotions managers,29,26,55,52.72727273,47.27272727,Gender-Neutral
Marketing and sales managers,570,378,948,60.12658228,39.87341772,Male-Stereotyped
Public relations and fundraising managers,24,35,59,40.6779661,59.3220339,Female-Stereotyped
Administrative services managers,96,73,169,56.80473373,43.19526627,Male-Stereotyped
Computer and information systems managers,466,169,635,73.38582677,26.61417323,Male-Stereotyped
Financial managers,551,573,1124,49.02135231,50.97864769,Gender-Neutral
Compensation and benefits managers,7,16,23,30.43478261,69.56521739,Female-Stereotyped
Human resources managers,68,186,254,26.77165354,73.22834646,Female-Stereotyped
Training and development managers,17,20,37,45.94594595,54.05405405,Gender-Neutral
Industrial production managers,221,45,266,83.08270677,16.91729323,Male-Stereotyped
Purchasing managers,109,84,193,56.47668394,43.52331606,Male-Stereotyped
"Transportation, storage, and distribution managers",224,52,276,81.15942029,18.84057971,Male-Stereotyped
"Farmers, ranchers, and other agricultural managers",106,23,129,82.17054264,17.82945736,Male-Stereotyped
Construction managers,429,42,471,91.08280255,8.917197452,Male-Stereotyped
Education administrators,282,496,778,36.24678663,63.75321337,Female-Stereotyped
Architectural and engineering managers,101,10,111,90.99099099,9.009009009,Male-Stereotyped
Food service managers,389,374,763,50.98296199,49.01703801,Gender-Neutral
Funeral service managers,10,2,12,83.33333333,16.66666667,Male-Stereotyped
Gaming managers,13,6,19,68.42105263,31.57894737,Male-Stereotyped
Lodging managers,54,68,122,44.26229508,55.73770492,Gender-Neutral
Medical and health services managers,154,438,592,26.01351351,73.98648649,Female-Stereotyped
Natural sciences managers,11,13,24,45.83333333,54.16666667,Gender-Neutral
Postmasters and mail superintendents,10,10,20,50,50,Gender-Neutral
"Property, real estate, and community association managers",171,230,401,42.64339152,57.35660848,Female-Stereotyped
Social and community service managers,105,200,305,34.42622951,65.57377049,Female-Stereotyped
Emergency management directors,6,3,9,66.66666667,33.33333333,Male-Stereotyped
"Managers, all other",1717,1085,2802,61.27765882,38.72234118,Male-Stereotyped
BUSINESS,2686,3256,5942,45.20363514,54.79636486,Gender-Neutral
"Agents and business managers of artists, performers, and athletes",13,14,27,48.14814815,51.85185185,Gender-Neutral
"Buyers and purchasing agents, farm products",9,2,11,81.81818182,18.18181818,Male-Stereotyped
"Wholesale and retail buyers, except farm products",73,69,142,51.4084507,48.5915493,Gender-Neutral
"Purchasing agents, except wholesale, retail, and farm products",136,124,260,52.30769231,47.69230769,Gender-Neutral
"Claims adjusters, appraisers, examiners, and investigators",141,176,317,44.47949527,55.52050473,Gender-Neutral
Compliance officers,126,109,235,53.61702128,46.38297872,Gender-Neutral
Cost estimators,83,12,95,87.36842105,12.63157895,Male-Stereotyped
Human resources workers,151,441,592,25.50675676,74.49324324,Female-Stereotyped
"Compensation, benefits, and job analysis specialists",12,50,62,19.35483871,80.64516129,Female-Stereotyped
Training and development specialists,42,65,107,39.25233645,60.74766355,Female-Stereotyped
Logisticians,66,44,110,60,40,Male-Stereotyped
Management analysts,291,237,528,55.11363636,44.88636364,Male-Stereotyped
"Meeting, convention, and event planners",27,90,117,23.07692308,76.92307692,Female-Stereotyped
Fundraisers,14,48,62,22.58064516,77.41935484,Female-Stereotyped
Market research analysts and marketing specialists,85,118,203,41.87192118,58.12807882,Female-Stereotyped
"Business operations specialists, all other",74,112,186,39.78494624,60.21505376,Female-Stereotyped
Accountants and auditors,618,846,1464,42.21311475,57.78688525,Female-Stereotyped
Appraisers and assessors of real estate,21,21,42,50,50,Gender-Neutral
Budget analysts,17,28,45,37.77777778,62.22222222,Female-Stereotyped
Credit analysts,8,9,17,47.05882353,52.94117647,Gender-Neutral
Financial analysts,168,127,295,56.94915254,43.05084746,Male-Stereotyped
Personal financial advisors,248,159,407,60.93366093,39.06633907,Male-Stereotyped
Insurance underwriters,44,63,107,41.12149533,58.87850467,Female-Stereotyped
Financial examiners,9,8,17,52.94117647,47.05882353,Gender-Neutral
Credit counselors and loan officers,146,166,312,46.79487179,53.20512821,Gender-Neutral
"Tax examiners and collectors, and revenue agents",20,39,59,33.89830508,66.10169492,Female-Stereotyped
Tax preparers,19,37,56,33.92857143,66.07142857,Female-Stereotyped
"Financial specialists, all other",25,40,65,38.46153846,61.53846154,Female-Stereotyped
COMPUTATIONAL,3036,973,4009,75.72960838,24.27039162,Male-Stereotyped
Computer and information research scientists,23,5,28,82.14285714,17.85714286,Male-Stereotyped
Computer systems analysts,325,173,498,65.26104418,34.73895582,Male-Stereotyped
Information security analysts,56,11,67,83.58208955,16.41791045,Male-Stereotyped
Computer programmers,357,93,450,79.33333333,20.66666667,Male-Stereotyped
"Software developers, applications and systems software",1054,232,1286,81.95956454,18.04043546,Male-Stereotyped
Web developers,98,53,151,64.90066225,35.09933775,Male-Stereotyped
Computer support specialists,291,105,396,73.48484848,26.51515152,Male-Stereotyped
Database administrators,58,32,90,64.44444444,35.55555556,Male-Stereotyped
Network and computer systems administrators,179,28,207,86.47342995,13.52657005,Male-Stereotyped
Computer network architects,100,15,115,86.95652174,13.04347826,Male-Stereotyped
"Computer occupations, all other",374,116,490,76.32653061,23.67346939,Male-Stereotyped
Actuaries,18,6,24,75,25,Male-Stereotyped
Mathematicians,6,0,6,100,0,Male-Stereotyped
Operations research analysts,59,63,122,48.36065574,51.63934426,Gender-Neutral
Statisticians,37,39,76,48.68421053,51.31578947,Gender-Neutral
Miscellaneous mathematical science occupations,1,0,1,100,0,Male-Stereotyped
ENGINEERING,2272,383,2655,85.57438795,14.42561205,Male-Stereotyped
"Architects, except naval",106,31,137,77.37226277,22.62773723,Male-Stereotyped
"Surveyors, cartographers, and photogrammetrists",23,6,29,79.31034483,20.68965517,Male-Stereotyped
Aerospace engineers,122,18,140,87.14285714,12.85714286,Male-Stereotyped
Agricultural engineers,5,0,5,100,0,Male-Stereotyped
Biomedical engineers,10,2,12,83.33333333,16.66666667,Male-Stereotyped
Chemical engineers,69,10,79,87.34177215,12.65822785,Male-Stereotyped
Civil engineers,275,41,316,87.02531646,12.97468354,Male-Stereotyped
Computer hardware engineers,62,10,72,86.11111111,13.88888889,Male-Stereotyped
Electrical and electronics engineers,246,37,283,86.92579505,13.07420495,Male-Stereotyped
Environmental engineers,26,9,35,74.28571429,25.71428571,Male-Stereotyped
"Industrial engineers, including health and safety",168,37,205,81.95121951,18.04878049,Male-Stereotyped
Marine engineers and naval architects,9,0,9,100,0,Male-Stereotyped
Materials engineers,33,4,37,89.18918919,10.81081081,Male-Stereotyped
Mechanical engineers,294,23,317,92.7444795,7.255520505,Male-Stereotyped
"Mining and geological engineers, including mining safety engineers",15,0,15,100,0,Male-Stereotyped
Nuclear engineers,3,2,5,60,40,Male-Stereotyped
Petroleum engineers,39,3,42,92.85714286,7.142857143,Male-Stereotyped
"Engineers, all other",339,54,393,86.25954198,13.74045802,Male-Stereotyped
Drafters,91,23,114,79.8245614,20.1754386,Male-Stereotyped
"Engineering technicians, except drafters",284,68,352,80.68181818,19.31818182,Male-Stereotyped
Surveying and mapping technicians,54,4,58,93.10344828,6.896551724,Male-Stereotyped
SCIENCE,662,514,1176,56.29251701,43.70748299,Male-Stereotyped
Agricultural and food scientists,12,10,22,54.54545455,45.45454545,Male-Stereotyped
Biological scientists,46,28,74,62.16216216,37.83783784,Male-Stereotyped
Conservation scientists and foresters,16,7,23,69.56521739,30.43478261,Male-Stereotyped
Medical scientists,68,84,152,44.73684211,55.26315789,Gender-Neutral
"Life scientists, all other",1,0,1,100,0,Male-Stereotyped
