Occupation;Column1;female response;male response;Stereotype_Category_Female_Respondents;Stereotype_Category_Male_Respondents
accountant;accountant;0.4583333333;0.4083333333;Male-Stereotyped;Male-Stereotyped
acrobat;acrobat;0.525;0.475;Gender-Neutral;Gender-Neutral
acupuncturist;acupuncturist;0.5;0.5333333333;Gender-Neutral;Gender-Neutral
admiral;admiral;0.2083333333;0.1916666667;Male-Stereotyped;Male-Stereotyped
advice columnist;advice columnist;0.6666666667;0.7666666667;Female-Stereotyped;Female-Stereotyped
aerobics instructor;aerobics instructor;0.8166666667;0.7916666667;Female-Stereotyped;Female-Stereotyped
air stewardess;air stewardess;0.8666666667;0.9083333333;Female-Stereotyped;Female-Stereotyped
air traffic controller;air traffic controller;0.25;0.2583333333;Male-Stereotyped;Male-Stereotyped
allergist;allergist;0.4083333333;0.575;Male-Stereotyped;Female-Stereotyped
animal caretaker;animal caretaker;0.5166666667;0.6;Gender-Neutral;Female-Stereotyped
antique dealer;antique dealer;0.5916666667;0.5833333333;Female-Stereotyped;Female-Stereotyped
architect;architect;0.2416666667;0.3166666667;Male-Stereotyped;Male-Stereotyped
artisan;artisan;0.4666666667;0.4166666667;Gender-Neutral;Male-Stereotyped
artist;artist;0.5333333333;0.4916666667;Gender-Neutral;Gender-Neutral
assistant;assistant;0.625;0.5833333333;Female-Stereotyped;Female-Stereotyped
astrologist;astrologist;0.4416666667;0.4416666667;Male-Stereotyped;Male-Stereotyped
astronaut;astronaut;0.225;0.1916666667;Male-Stereotyped;Male-Stereotyped
astronomer;astronomer;0.3166666667;0.4166666667;Male-Stereotyped;Male-Stereotyped
athlete;athlete;0.3916666667;0.3;Male-Stereotyped;Male-Stereotyped
attorney;attorney;0.4583333333;0.4166666667;Male-Stereotyped;Male-Stereotyped
auctioneer;auctioneer;0.2416666667;0.2;Male-Stereotyped;Male-Stereotyped
author;author;0.5166666667;0.5083333333;Gender-Neutral;Gender-Neutral
auto mechanic;auto mechanic;0.09166666667;0.06666666667;Male-Stereotyped;Male-Stereotyped
aviator;aviator;0.2333333333;0.2666666667;Male-Stereotyped;Male-Stereotyped
babysitter;babysitter;0.8583333333;0.8416666667;Female-Stereotyped;Female-Stereotyped
baker;baker;0.6166666667;0.5583333333;Female-Stereotyped;Gender-Neutral
ballerina;ballerina;0.9166666667;0.8916666667;Female-Stereotyped;Female-Stereotyped
ballet dancer;ballet dancer;0.9;0.925;Female-Stereotyped;Female-Stereotyped
bank teller;bank teller;0.65;0.6833333333;Female-Stereotyped;Female-Stereotyped
